date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:41	624638/624638	---MCZ	200	added ('OK')	text/html	etag:W/%22c9f1550cc4e415abe963866307288e5e%22	https://www.isoftservices.io/career	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/career.html	(from https://www.isoftservices.io/)
23:16:42	668807/668807	---MCZ	200	added ('OK')	text/html	etag:W/%22057f57043570b313945db7081f86d02e%22	https://www.isoftservices.io/brand-value	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/brand-value.html	(from https://www.isoftservices.io/)
23:16:45	603692/603692	---MCZ	200	added ('OK')	text/html	etag:W/%223e8238dcabb19140cb8efc41b4b30eb2%22	https://www.isoftservices.io/contact	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/contact.html	(from https://www.isoftservices.io/)
23:16:45	595168/595168	---MCZ	200	added ('OK')	text/html	etag:W/%222c87eded8e516246d967d6c5f8c8e122%22	https://www.isoftservices.io/this-healthcare-giant-benefited-in-the-most-unexpected-ways	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/this-healthcare-giant-benefited-in-the-most-unexpected-ways.html	(from https://www.isoftservices.io/)
23:16:45	595972/595972	---MCZ	200	added ('OK')	text/html	etag:W/%22665ea472f3b2c954d83d687219ff43ab%22	https://www.isoftservices.io/our-client-successfully-upped-their-manufacturing-game	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/our-client-successfully-upped-their-manufacturing-game.html	(from https://www.isoftservices.io/)
23:16:49	725545/725545	---MCZ	200	added ('OK')	text/html	etag:W/%22ab55f36b266ce72ddf8c618554d15f97%22	https://www.isoftservices.io/data-and-ai	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/data-and-ai.html	(from https://www.isoftservices.io/)
23:16:50	678603/678603	---MCZ	200	added ('OK')	text/html	etag:W/%220a26a8208ed73f592fc9ca5c91479fb0%22	https://www.isoftservices.io/cloud	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/cloud.html	(from https://www.isoftservices.io/)
23:16:52	701513/701513	---MCZ	200	added ('OK')	text/html	etag:W/%22a0c09e8c44a9de014b74b1cefded9523%22	https://www.isoftservices.io/consulting	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/consulting.html	(from https://www.isoftservices.io/)
23:16:55	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Feb%202026%2017:46:55%20GMT	https://www.isoftservices.io/window.location.href	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/window.location.15.delayed	(from https://www.isoftservices.io/)
23:16:55	716820/716820	---MCZ	200	added ('OK')	text/html	etag:W/%229619d59d36ae90961eabea58783df112%22	https://www.isoftservices.io/strategic-staffing	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/strategic-staffing.html	(from https://www.isoftservices.io/)
23:16:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202026%2017:46:55%20GMT	https://www.isoftservices.io/api/	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/api/index.html	(from https://www.isoftservices.io/)
23:16:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Feb%202026%2017:46:55%20GMT	https://www.isoftservices.io/envelope/	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/envelope/index.html	(from https://www.isoftservices.io/)
23:16:56	248/248	---MCZ	200	added ('OK')	text/xml	etag:W/%22f8-didX1YpwqcqYoqPdTLOOF3xavyc%22	https://www.isoftservices.io/sitemap.xml	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/sitemap.xml	(from https://www.isoftservices.io/)
23:16:56	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2017:46:56%20GMT	https://www.isoftservices.io/feed.xml	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/feed.17.delayed	(from https://www.isoftservices.io/)
23:16:57	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2002%20Feb%202026%2017:46:57%20GMT	https://www.isoftservices.io/decodeURIComponent(e	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/decodeURIComponent(e.18.delayed	(from https://www.isoftservices.io/)
23:17:01	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2017:47:01%20GMT	https://www.isoftservices.io/api	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/api.19.delayed	(from https://www.isoftservices.io/api/)
23:17:02	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Feb%202026%2017:47:02%20GMT	https://www.isoftservices.io/envelope	/Users/bharatathota/Desktop/Bharat/www.isoftservices.io/envelope.1a.delayed	(from https://www.isoftservices.io/envelope/)
